"","breakfast","tea.time","evening","lunch","dinner","always","home","work","tearoom","friends","resto","pub","Tea","How","sugar","how","where","price","age","sex","SPC","Sport","age_Q","frequency","escape.exoticism","spirituality","healthy","diuretic","friendliness","iron.absorption","feminine","sophisticated","slimming","exciting","relaxing","effect.on.health"
"1","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","black","alone","sugar","tea bag","chain store","p_unknown",39,"M","middle","sportsman","35-44","1/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","Not.friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","No.relaxing","No.effect on health"
"2","breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","black","milk","No.sugar","tea bag","chain store","p_variable",45,"F","middle","sportsman","45-59","1/day","escape-exoticism","Not.spirituality","healthy","diuretic","Not.friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","exciting","No.relaxing","No.effect on health"
"3","Not.breakfast","tea time","evening","Not.lunch","dinner","Not.always","home","work","Not.tearoom","friends","resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_variable",47,"F","other worker","sportsman","45-59","+2/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"4","Not.breakfast","Not.tea time","Not.evening","Not.lunch","dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","sugar","tea bag","chain store","p_variable",23,"M","student","Not.sportsman","15-24","1/day","escape-exoticism","spirituality","healthy","Not.diuretic","Not.friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"5","breakfast","Not.tea time","evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_variable",48,"M","employee","sportsman","45-59","+2/day","escape-exoticism","spirituality","Not.healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"6","Not.breakfast","Not.tea time","Not.evening","Not.lunch","dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_private label",21,"M","student","sportsman","15-24","1/day","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","Not.friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"7","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_variable",37,"M","senior","sportsman","35-44","3 to 6/week","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","Not.friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"8","Not.breakfast","tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","black","milk","No.sugar","tea bag","chain store","p_variable",36,"F","middle","sportsman","35-44","1 to 2/week","Not.escape-exoticism","Not.spirituality","healthy","Not.diuretic","friendliness","Not.iron absorption","feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"9","breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","milk","No.sugar","tea bag+unpackaged","chain store+tea shop","p_upscale",40,"M","senior","sportsman","35-44","+2/day","Not.escape-exoticism","Not.spirituality","Not.healthy","Not.diuretic","Not.friendliness","Not.iron absorption","Not.feminine","sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
"10","breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","tearoom","Not.friends","Not.resto","Not.pub","black","alone","No.sugar","tea bag+unpackaged","chain store+tea shop","p_upscale",37,"M","senior","Not.sportsman","35-44","+2/day","Not.escape-exoticism","Not.spirituality","healthy","diuretic","friendliness","Not.iron absorption","Not.feminine","Not.sophisticated","No.slimming","No.exciting","relaxing","No.effect on health"
